query,table_size,iteration,execution_time_ms,num_results
in the house tonight,1000,1,16.182422637939453,10
in the house tonight,1000,2,8.039712905883789,10
in the house tonight,1000,3,7.744073867797852,10
in the house tonight,2000,1,33.79201889038086,10
in the house tonight,2000,2,15.019416809082031,10
in the house tonight,2000,3,13.179302215576172,10
in the house tonight,4000,1,32.51481056213379,10
in the house tonight,4000,2,26.6878604888916,10
in the house tonight,4000,3,26.309490203857422,10
in the house tonight,8000,1,66.37883186340332,10
in the house tonight,8000,2,62.33835220336914,10
in the house tonight,8000,3,53.20024490356445,10
in the house tonight,16000,1,123.56209754943848,10
in the house tonight,16000,2,107.00774192810059,10
in the house tonight,16000,3,102.60701179504395,10
in the house tonight,32000,1,233.25443267822266,10
in the house tonight,32000,2,202.86846160888672,10
in the house tonight,32000,3,218.17851066589355,10
in the house tonight,64000,1,255.5849552154541,10
in the house tonight,64000,2,210.24060249328613,10
in the house tonight,64000,3,213.56844902038574,10
love,1000,1,43.96414756774902,10
love,1000,2,7.342338562011719,10
love,1000,3,6.846189498901367,10
love,2000,1,87.94736862182617,10
love,2000,2,8.923530578613281,10
love,2000,3,9.139776229858398,10
love,4000,1,185.1198673248291,10
love,4000,2,17.389297485351562,10
love,4000,3,17.031192779541016,10
love,8000,1,509.0985298156738,10
love,8000,2,35.55583953857422,10
love,8000,3,34.98220443725586,10
love,16000,1,631.5526962280273,10
love,16000,2,76.75528526306152,10
love,16000,3,83.78291130065918,10
love,32000,1,1562.453031539917,10
love,32000,2,158.33425521850586,10
love,32000,3,149.16229248046875,10
love,64000,1,914.9603843688965,10
love,64000,2,417.42610931396484,10
love,64000,3,375.3399848937988,10
